CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
49035114700,UT,Salt Lake,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1440,5.0,0.0010607,1,4714,U,3420.583377,0.725622269,1385.335662,0.29387689,1080.441198,0.756082014,355.6233093,0.668464867,60.76151641,0.042195498,1365.72608,0.28971703,503.6003451,0.10683079,505.385561,0.353663794,58.16774995,0.109337876,19.92466555,0.013836573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49035114800,UT,Salt Lake,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1200,206.0,0.0580282,0,3550,R,3386.056218,0.953818653,169.8434945,0.047843238,762.3612989,0.945857691,615.8426411,0.956277393,9.614287005,0.008011906,2294.037374,0.646207711,147.9958895,0.041688983,508.9820919,0.631491429,384.4143727,0.596916728,6.738583445,0.005615486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49035115106,UT,Salt Lake,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2018,0.0,0.0,0,7858,U,7857.999998,1.0,861.2213279,0.109598031,3417.999989,0.999999997,184.9999987,0.999999993,0.0,0.0,6658.859565,0.847398774,729.7978978,0.092873237,2846.353614,0.832754129,154.7533609,0.836504653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49035115209,UT,Salt Lake,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1509,222.0,0.0363339,0,6110,U,6110.000025,1.000000004,1651.372987,0.270273811,2838.999998,0.999999999,148.9999992,0.999999995,50.84018372,0.033691308,5008.01475,0.819642349,1255.247108,0.205441425,2386.925415,0.840762739,113.7067415,0.763132493,37.59023871,0.024910695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49035980000,UT,Salt Lake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49037942000,UT,San Juan,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1068,0.0,0.0,1,3882,R,3882.000021,1.000000005,2621.165595,0.675210097,1395.000002,1.000000002,338.0000008,1.000000002,93.9098767,0.087930596,3882.000021,1.000000005,2621.165595,0.675210097,1395.000002,1.000000002,338.0000008,1.000000002,93.9098767,0.087930596,3882.000021,1.000000005,2621.165595,0.675210097,1395.000002,1.000000002,338.0000008,1.000000002,93.9098767,0.087930596,3736.855782,0.962610969,2505.570567,0.645432913,1345.726227,0.964678299,325.3866584,0.962682421,91.18207745,0.085376477
49037942100,UT,San Juan,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,613,7.0,0.0032007,1,2187,R,2129.206425,0.97357404,1368.378073,0.625687276,794.8806577,0.974118453,188.7558036,0.988250281,25.27089997,0.041224959,2040.515512,0.933020353,1307.122361,0.597678263,762.1177926,0.933967883,184.5815204,0.966395395,24.42395838,0.039843325,1030.249747,0.471078988,641.3904225,0.293274084,375.559489,0.460244472,101.3872327,0.530823208,14.12343187,0.023039856,549.1577114,0.25110092,316.6279765,0.14477731,203.2708676,0.249106455,62.15521223,0.325419959,9.497614856,0.015493662
49037978100,UT,San Juan,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1280,127.0,0.0336602,1,3773,R,2602.452577,0.689756845,843.9260253,0.223675066,812.5565907,0.699274174,338.3007468,0.677957408,19.2103782,0.015008108,1859.018632,0.492716308,604.8200882,0.16030217,518.1616657,0.44592226,239.7533988,0.480467733,18.14849369,0.014178511,953.5624603,0.252733226,298.6549084,0.07915582,264.6616648,0.227763911,124.4456256,0.249390031,9.608668472,0.007506772,585.5045326,0.155182754,183.3794951,0.0486031,182.2440426,0.156836526,49.49519612,0.09918877,5.822356658,0.004548716
49037978200,UT,San Juan,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1544,155.0,0.0316069,1,4904,R,4117.453822,0.839611301,1699.016291,0.346455198,1360.594441,0.82761219,495.9192844,0.866991756,106.9208488,0.069249254,2563.399043,0.522715955,919.0276282,0.187403676,846.522058,0.514916094,336.1263097,0.587633409,58.7922415,0.038077877,503.0625098,0.102582078,278.6449055,0.056819924,104.9351423,0.063829162,69.05500291,0.12072553,29.9695075,0.019410303,347.5489118,0.070870496,192.5063626,0.039254968,47.51947287,0.028904789,59.96667674,0.104836847,23.71972927,0.015362519
49039972100,UT,Sanpete,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2455,314.0,0.0411533,0,7630,R,7209.522227,0.944891511,2471.122736,0.323869297,2343.652633,0.942361332,1082.618928,0.957222748,33.9631807,0.013834289,5677.307751,0.744077032,2018.902022,0.264600527,1805.980809,0.726168399,888.5749885,0.785654278,23.97661052,0.00976644,449.8675624,0.058960362,126.0414506,0.016519194,124.9079096,0.05022433,57.97073971,0.05125618,0.790010447,0.000321797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
